LELL  Sabadell 
NC86  ROCKING A FARM 
YGRA  [H] GARANGULA STN 
YKER  Kerang 
VA85  New Castle Intl 
1PS8  [H] Punxsutawney Area Hospital 
XK000U  Beaver Dam Airpark 
NC92  [H] Duke University North 
3MD2  [H] Garrett County Memorial Hospital 
SETU  Teniente Coronel L.A Mantilla 
KEMV  EMPORIA GREENSVILLE RGNL 
8LA7  [H] Southern Natural Gas Company 
SIAY  Auriflama 
7L7  Harbour 
LE85  TABLADA 
YPPD  Port Hedland Intl 
EGTD  Dunsfold 
SN25  Lucas 
5T3  Alexander Ranch 
SIBB  [H] Ed. Comendador Alberto Bonfiglioli 
8NY3  North Fork 
KGUR  Camp Guernsey 
EKAH  Aarhus 
XRP000F  Fuga 
SNDD  Fazenda Eldorado 
MO25  Watson 
KBHK  Baker Muni 
FY4P  Toronto 
2R5  St. Elmo 
0J1  [H] Newport Hospital & Clinic 
94U  N Bar Ranch 
CO08  [H] Public Service of Colorado Arvada 
FY41  Schuerfpenz 
LPVZ  Viseu 
OI32  Stoneys 
SWIV  Aguia Branca do Paru 
VOCL  Calicut 
5NE5  Trego 
XEG3HI  Hardwicke 
VAND  Shri Guru Gobind Singh Ji 
SWJM  Fazenda Bom Jesus 
W73  Mid Atlantic Soaring Center 
4OR4  Schrock 
SWDF  Fazenda Braco Forte 
UT30  Deer Springs Ranch 
YLND  LAKELAND DOWNS 
Y40  Akron Municipal 
USCG  Chelyabinks Shagol AFB 
SNIT  IBOTIRAMA 
MA16  Marshalls 
ENQA  [H] Troll A Platform 
NZOA  Omarama 
74M  River Acres 
NTAR  Rurutu 
N71  Donegal Springs Airpark 
SNJO  JOAO PESSOA AEROCLUBE 
VTX0  Ayutthaya Flying Club 
99E  [X] Eureka Ranch 
01IL  [H] Hoopeston Community Memorial Hospital 
IS27  Beherns 
LLHZ  Herzliya 
12KY  John M. Foree 
I17  Piqua Hartzell Fld 
SILI  Ilha dos Porcos Grandes 
96MN  Air-Ag 
02K  Arrowhead 
SKTM  TAME 
SIOR  Fazenda Sao Miguel 
50ND  Schmitz Farm 
ID16  Sluder Airstrip 
OIHS  HAMADAN MIL 
AGGV  Suavanao 
2NK7  Walton 
XEKTH  Thisted Hospital 
5GA4  Air Acres 
ID02  [H] Coeur d Alene Resort 
2NJ3  Weidel - Private 
IS33  [H] Azz - 1 
I03  [H] Grand Tower 
FYNT  Namtib Desert Lodge 
SIMM  [H] Edificio Corporate Park 
EGXP  RAF Scampton 
01KS  Flying N Ranch 
SKUI  El Caraño 
65OI  [H] Bass 
7C8  Middlekoop 
SINV  Fazenda Santa Rita 
78CO  [H] Pfister Ranch 
SNHP  HERBERT MATA PIRES 
9FD8  [H] Wesh-Tv Channel 2 
CDY6  Dayspring Airpark 
75I  [H] Clermont 
NZNE  North Shore 
N65  Knox 
RORA  Aguni 
SNKK  Caico 
YWYM  Wyndham 
VTY4  Kho Jan 
76R  Drewry Road 
KBGD  Hutchinson Co 
0MU6  [H] Bradbury-Rolf Memorial 
2IL5  Sutton 
YBBH  BIRRI BEACH 
SWEB  Fazenda Arauna 
VAAK  Akola 
UT24  Strawberry Valley Estates 
YBAS  Alice Springs 
Y54  Buffalo Center 
44KS  Vankirk 
20OI  [H] Medcenter Hospital 
VABP  BHOPAL 
SWFY  Fazenda Ipe 
XRPENI  El Nido 
SNJX  [H] Hospital Monte Sinai 
0G6  Williams Co 
99R  Chandler 
KBFW  SILVER BAY MUNI 
ENRM  Rørvik Ryum 
SNIC  Irece 
LB34  STEFANOVO 
ENQV  [H] Visund A Platform 
CA07  Scheidel Ranch 
YNUL  Nullagine 
XEG3EN  Shenstone Hall Farm 
0VA3  Hunt 
SWDQ  Fazenda Saltos do Poente 
20MA  [H] WCVB-TV 
YKKN  Kin Kin Retreat 
3MI5  Innes Acres 
NC45  Enfield-Shearin 
GMMH  Dakhla 
AGGA  Auki 
EPZB  Zborowo 
XEG4CH  Camphill 
KRCP  Rooks County Regl 
VA52  Frank Field 
PR12  [H] State Government Number One 
EGYC  RAF Coltishall 
5Y4  Lost Creek 
87TS  [H] Star Houston 
SIOE  Mocelin 
0FD4  [H] Due Process Stables 
KKNB  Kenab Municipal 
RJNK  Komatsu 
01G  Perry Warsaw 
FYOG  Oranjemund 
7A0  Greensboro Muni 
PR06  [H] Baxter-Carolina 
03X  [H] Emergency 
5PA9  Taylor Flight Park 
67TA  Bishop 
SINA  Sao Francisco 
00C  Animas Air Park 
RJOO  Osaka Intl 
KEAU  Chippewa Valley Regl. 
3XS4  Jenkins 
SIMZ  Fazenda Primeiro de Maio 
MMPC  INGENIERO JUAN GUILLERMO VILLASANA 
WIPC  Rimbo Bujang (MAF) 
NC51  [H] Halifax Memorial Hospital 
GCAD  [H] Helipuerto de Adeje 
VA46  Timber Ridge Arpk 
0TX3  [H] Panola General Hospital 
22TA  Standard Industries 
SWFN  Manaus Flores 
YLOW  [H] LOWENDAL ISLAND 
YBAD  Baradine 
UT18  [H] U S Forest Service 
SWEU  Ecotur Univini Park 
YLLL  MALLALA 
ND37  Maddock Municipal 
0F2  Bowie Muni 
ENSI  Ski Flyplass 
OP18  KOT ADDU 
SNHG  Fazenda Varjadao 
LEBG  Burgos 
N59  ROSASCHI AIR PARK 
LKLT  Letnany 
CJW2  Oxbow 
NZNR  NAPIER 
VTZ8  Koktoom 
KBDH  Willmar Muni 
LB20  Kumaritsa 
CA13  Kings River Community College 
OP1Y  CHANDHAR 
2PA0  Zettlemoyer 
WW80  Ribang Rabing (MAF) 
6NA0  Strom - Private 
7V9  City of Las Animas Bent Co 
KETC  Tarboro-Edgecombe 
WY58  Reynolds 
EGNJ  Humberside 
XEK0003  Vejroe Heliport 
SIXL  Fazenda San Francisco 
KPOF  Poplar Bluff Muni 
YEQO  El Questro 
7TN7  [H] PCA 
MS80  Hasting Airpark 
AL53  [H] Humana Hospital Shoals 
KY29  Farrington Airpark 
WN69  [H] Leach Farms 
AK35  Paf Cannery 
SWSX  Seringal Nova Olinda 
4AK9  Tibbetts 
YBTR  Blackwater 
HL77  OKBA IBN NAFA 
SWPC  Pari - Cachoeira 
FB82  Tsodilo Hills 
OK18  [H] Fairground 
YBWI  BURDEKIN WILDERNESS LODGE 
EE5  Wabasca 
58L  [H] Occidental Petroleum 
EBSS  [H] Sint-Lucas Hospital 
LIAF  Foligno 
1NA9  Myran Airstrip 
0MA3  [H] A-Copy 
08TX  Cross Wind 
17CA  [H] Brookside Hospital 
YWNS  WANDSWORTH 
GA88  Cole Field 
NH12  Plymouth Muni 
HL63  WAREHOUSE 59A 
SWQG  Fazenda Sossego 
FB96  Xorogom 
52CA  Lake Mathews 
YESP  Esperance 
AL47  [H] Lemoyne 
XEG8CR  Castlerock 
MS94  [H] Nwmrmc 
WW94  Selayar/Bandari Haji Aroeppala 
YPHU  Port Hurd 
EN21  Wadahl 
SIZS  Agropecuaria Equus 
KEUG  Mahlon Sweet Fld 
XEK0017  Aarhus Hospital 
SIYH  Fazenda Cruzeiro 
NA84  L. Seckerson Airstrip 
WN55  Randle-Kiona Airpark 
FBNT  Nata 
KRTN  RATON MUNI CREWS FLD 
SKCD  Mandinga 
AU86  Tintinara Airport 
KGOK  GUTHRIE MUNI 
EN09  HAGA 
5NK  Naknek 
XEK000E  Skalmstrup UL 
WY64  Lone Pine Flying Ranch 
EGMF  Farthing Corner 
5M1  DE WITT MUNI 
E32  Lindrith Airpark 
SENL  LAGO AGRIO 
OPQS  QASIM 
2K7  Neodesha Muni 
CJB3  Steinbach Airport 
LKZN  Znojmo 
0S3  Spencer Ranch Landing Strip 
SK55  Las Cruces 
LIAQ  AQUINO 
19LA  [H] Region 1 Headquarters-State Police 
YYBH  [H] YARRABAH 
4TS0  [H] First City Financial Center 
U65  Carey 
WI33  Ben Sutherland 
YNBR  Narrabri 
AK09  Wingsong Estates 
XEG3RP  Rolleston Park Farm 
SWPT  Fazenda Piratinga 
OK24  Snyder 
WI27  [S] Franks 
SWQP  Rio Vermelho Acucar e Alcool 
ANYN  Nauru Intl 
OK30  Grandcraft Landing Strip 
IA99  [H] Dickinson County Memorial Hospital 
LEVB  Aerodrom - Villafranca de Bonany 
YWND  Wondai 
2J3  Louisville Muni 
1NC1  Ron's Ultralight Field 
MM27  Cementos Mexicanos 
SBJU  Orlando Bezerra de Menezes 
EGOY  West Freugh 
6NC8  Marchmont Plantation Airpark 
AU92  Karijini National Park 
E26  LEA COUNTY JAL 
EGLB  Brooklands 
XEK001A  Finderup 
MD99  Moran Field 
9Y9  Mille Lacs Lake 
LBPD  Plovdiv 
8NA5  Liechty Farm 
SIZD  [H] Sabre 
NA90  Circle Z Landing Strip 
OEKR  KHURAIS 
UTSL  KARSHI KHANABAD 
KY01  [H] Lourdes Hospital 
AL90  [H] Selma Medical Center 
MS43  Whitaker 
41OH  Sleepy Hollow 
YGEH  [H] GEELONG HOSPITAL 
8WA7  Gossard Field 
1KS8  Buehler 
MD72  M.R.P. Airpark 
22I  Vinton Co 
SITO  Muricoca 
KIML  Imperial Municipal 
EGAR  Rothera Research Station 
K15  Grand Glaize Osage Beach 
UAFB  Batken 
WW43  Oklip (AMA) 
FYTM  Tsumeb 
KINW  WINSLOW LINDBERGH RGNL 
BOQ  Boku 
SIWT  Santa Helena 
21R  Seaberg Ranch 
7CA5  [H] Balch Camp 
SNQR  Fazenda Bahia - Don Bosco 
57T  Horn-Katy Hawk International 
04OH  Bossow 
XS16  [H] San Jacinto College Central Campus 
KLSN  Los Banos Muni 
L73  POSO KERN COUNTY 
8II8  [H] Allison Plant 3 
EG48  Hardwick Norwich 
SNRI  [H] Riviera de Sao Lourenco 
6KS1  Quinter Air Strip 
OR32  Simtag Farms 
VTCL  Lampang 
LIME  Bergamo Orio Al Serio - Il Caravaggio 
IA72  [H] Mercy Hospital 
VOVZ  Vishakhapatnam 
FB41  Linyanti 
CT08  Gardner Lake 
46IN  Ames Field 
33VA  Fox Fire 
YNOB  Nobbys Creek 
4OK6  Pitts Field 
KWDG  Enid Woodring Regl 
IA66  Nash Field Indianola 
FB55  Nojane Ranches 
MT31  [H] Central Montana Hospital and Nursing H 
31NE  Grimm Farm 
HEGO  EL GONA 
SNPV  Solidao 
KLRJ  Le Mars MUNI 
XS02  [H] Tarrant County Water Control 
EH2  Black Diamond/Cu Nim 
SNSM  Salinopolis 
55K  Oxford Muni 
VTBH  Lop Buri Sa Pran Nak 
LILA  Alessandria 
MD66  Smith Field 
EGCM  Leeds East 
01PN  Bierly - Personal Use 
76VA  [H] Roubin & Janeiro Inc 
SIUK  Serra Verde 
67OK  Flying J Ranch 
23M  CLARKE CO 
9V6  Martin Muni 
VT49  Angus Airways 
RJTE  TATEYAMA 
9MO4  Worth 
WW57  Pasuruan/Raci (IAF) 
K01  Farington Field 
20V  Mc Elroy Afld 
SIVP  Fazenda Bandeirante 
MS57  FRED NETTERVILLE LUMBER CO 
AL84  Pecan Ponds Farm 
YGDL  GINDALBIE HS 
5A2  Warner Robins Air Park 
EGAE  Londonderry Eglinton 
NY0  Fulton County 
TE47  Cross Wind Acres 
7MO1  Wood Acres 
21E  Newman Peak Ranch 
SIWC  Fazenda Santa Rita 
FYTZ  Otjisazu 
LF4722  Castillonnès 
K29  Council 
CD63  [H] Raven Ridge 
7Y6  [S] Baudette Flying Service 
MMIA  Licenciado Miguel de la Madrid 
SITX  Fazenda Chapeu de Pano 
HE36  BIR JIFJAFAH 
7TA8  John Henry Key 
OISY  Yasouj 
YIKL  BAIKAL 
3OI7  [H] Valley Asphalt 
0TA1  Buddy Harmel 
CT34  [H] Ussc North Haven 
GA63  Byromville Aerodrome 
VCCA  ANURADHAPURA 
MT19  Hoversland 
YLUN  LAURINEL 
HKKT  Kitale Airport 
LKVM  Vysoke Myto 
BGBW  Narsarsuaq 
LIMR  Novi Ligure 
NZTK  Takaka 
SBGR  Sao Paulo - Guarulhos 
AR23  Cedar Creek Ranch 
57C  East Troy Muni 
SNQE  Fazenda Serra Grande 
EG74  Bruntingthorpe 
0AZ4  Flying Bucket Ranch 
2G4  Garrett Co 
0MO8  Sloans 
NZWP  Whenuapai 
SNSZ  Fazenda Itaguassu 
LILV  Valbrembo 
YYOO  Yalymboo 
AR37  [H] St Michael Hospital 
EG60  Kirkbride 
SNPA  Para De Minas 
56G  Indian Creek Ranch 
2F0  IRAAN MUNI 
ENHT  Hattfjelldal 
CT20  Rankl Field 
FB69  Seleka 
VOTR  TIRUCHIRAPPALLI 
GA77  Wallace Field 
31MI  Rentz 
YKRL  KEEROONGOOLOO 
HBBE  Gitega 
6WA2  Gower Field 
WN82  [H] Ferry County Memorial Hospital 
HE22  BALUZA 
KPAM  Tyndall AFB 
3OH3  Pelz Field 
NA53  L. Pfau Airstrip 
KRZR  Cleveland Regl Jetport 
YPDA  PARNDANA 
TE53  [H] Spring Branch Memorial Hospital 
RJTR  KASTNER AAF 
SIVG  Clube Aerodesportivo Selva 
20A  Robbins Field 
87NJ  [H] Shore Memorial Hospital 
NV62  Cortez Airstrip 
CD77  [H] Castle Peak 
1II4  Amy 
XLF006B  Chauvigny du Perche 
39N  Princeton 
SJDW  Fazenda Caranda 
AZ16  [H] Northern Cochise Community Hospital 
4I9  Morrow Co 
XLF005Y  La Rosétaine 
YSUJ  SUPPLEJACK DOWNS 
VRMV  Villa Maamigili Intl 
SJGL  [H] Pitangueira 
SSIE  Teruel Ipanema Estancia 
KSPF  Black Hills Clyde Ice Fld 
ESQP  Berga Orlogsbas 
YDUP  DUPUWARRMIRRI 
39OH  Crosswind Meadows 
FD90  Lafayette Landings 
OASG  SHEBERGHAN 
4NA5  Berg Strip 
WAJD  Wakde (DGAC) 
XESS12  Håtunaholm 
LSPO  Olten 
YCSV  Collinsville 
MU92  [H] Big Cedar Lodge 
EVLI  Limbazi 
FZ5  Sundre/Goodwins Farm 
5TN2  [H] TGP Station 71 
LFKJ  Napoleon Bonaparte 
XEN001L  Svenningdal 
SCLB  Los Pehuenches 
LFHQ  Saint Flour Coltines 
XLF00CI  Crachier 
UESG  Belaya Gora 
XLF00AV  La Tovière 
TJFA  Diego Jimenez Torres 
SCMF  Malloco 
XLF00BM  Mionnay 
XLF00A7  Saint Etienne en Dévoluy 
C08  Silver West 
SAVY  El Tehuelche 
CL42  [H] Mission Viejo Company Helistop 
5CL7  Gene Wash Reservoir 
49NE  Harden Airstrip 
MU86  Taus River Ranch 
T39  ARCHER CITY MUNI 
SSHA  Aeroclube de Aquidauana 
8TS0  Hamilton Ranch 
MYX1  Deep Water Cay 
FAPG  Plettenberg Bay 
2MA6  [S] Flynns Noquochoke 
MUNG  RAFAEL CABRERA 
OJAI  Queen Alia Intl 
SSKZ  Carazinho 
PAKI  Kipnuk 
CYYF  Penticton 
FD84  Delta 
38J  [X] Hemingway Stuckey 
XLF007F  Fournet Blancheroche 
SJES  Fazenda Agua Pe 
WX38  Berian Baru (MAF) 
NY31  Rabbit Lane 
79PN  [H] Geisinger Rooftop 
YSTN  STONY HEAD 
SJFH  [H] I.I.J.O - Rosario 
PAJZ  Koliganek 
S77  Magee 
SSJI  Jardim 
XEDJ7  Gersdorf 
II47  [H] St Josephs Hospital 
CYXU  London Ontario 
SSIR  Ibiruba 
6TS5  [H] Eds Administration Nr 1 
FAQT  Queenstown 
UI36  [H] Vizirnyy 
66FD  J.R.s 
XLF0064  Souesmes 
KHEG  Herlong Recreational Airport 
D46  Potoczak 
NY19  Walls 
4J5  QUITMAN BROOKS CO 
WX10  Angguruk (GKI) 
SDIH  Fazenda Irohy 
EDRF  Bad Duerkheim 
6R1  Welsh 
XLF006U  Les Bardellières 
SDJS  Andorinha 
CBN9  Tsay Keh 
ORV  [S] Noorvik SPB 
LFHF  Ruoms 
1T7  KESTREL AIRPARK 
SAWJ  SAN JULIAN 
C20  Andrews University Airpark 
SCON  Quellón 
92CA  Westlake Farms 
YCSA  COMPRESSOR STATION 3 
SVTK  LA TRINIDAD DE ARICHUNA 
23FD  Scott 2000 
WAJS  Senggeh (DGAC) 
IN21  Starkeys 
KTUL  Tulsa Intl 
YCRE  [S] CARDWELL 
KVLL  Oakland/Troy 
IN35  Shinn Bone Lane 
T05  Charles R Johnson 
LFIB  Belves Saint Pardoux 
XLF00BZ  Montverdun 
YXDH  [H] Darwin Hospital 
UERT  Vitim 
1U3  Murphy 
LA95  [H] Apci Emergency 
SAVN  Antoine de St Exupery 
3M7  Layfette Muni 
LFJY  Chambley 
KMYZ  Marysville Muni 
KCWI  Clinton Muni 
KOBE  Okeechobee Co 
FQVL  Vilankulo 
EDPY  Ellwangen 
68IS  CASA DE AERO PARK 
KHDC  Hammond Northshore Regl 
XLF0070  Vicq sur Nahon Echalier 
XLF004J  Saint Laurent sur Sèvre 
UI22  [H] Burovaya 827 
WX04  Alama (CAMA) 
4K1  Nelson Weber 
D52  Geneseo 
SDHL  [H] Heliporto Lagoa 
YSWB  Swan Bay 
6S5  RAVALLI CO 
EDSB  Karlsruhe Baden-Baden 
XLF007Q  Senoncourt 
8AK9  Tok 2 
SFPH  Port Howard 
SJED  Fazenda Abath 
KDRT  Del Rio Intl 
SDKW  Fazenda Sodema 
S63  Skyharbor 
SSKM  Campo Mourao 
ESSX  Vasteras Johannisberg 
FASK  Swartkop 
CYYQ  Churchill 
II53  Burkes 
3NC4  Knapp 
UWLL  Baratayevka 
FAPP  Polokwane Intl 
CYTA  Pembroke 
FD53  Cub Haven 
2CA9  [H] Castle Dome AHP 
XEDFB  Rothenberg 
4KS4  [H] Police 
SSEF  Fazenda Passaredo 
WA0W  Tulem (CAMA) 
S88  Skykomish State 
26WI  Kitty-Wompus 
YDYS  Dysart 
XLF009Z  Ségriès 
UG11  DOLLYAR 
02NJ  [H] Penske 
SJKO  Cararuau 
WV37  [S] New Martinsville 
KHJH  Hebron Muni 
77PA  Nardo 
SC60  Cockfield Aerodrome 
SDFG  [H] Fazenda Guanabara 
ME06  Flying Ed 
SJHT  Fazenda ANB 
LOLG  St Georgen am Ybbsfeld 
LFDR  La Réole Floudès 
43K  Marion Muni 
SD06  Arlington Municipal 
CL95  [H] County 
63WI  Flying H 
DE22  [H] Del-Mar Ford 
KMTJ  Montrose Regl 
LFGI  Dijon Darois 
KAAF  Apalachicola Municipal 
XOMRX  Ras Khumais 
ZSDY  Dongying Shengli 
47NJ  [H] Metropolitan Electric 
KVBG  Vandenberg AFB 
32PA  Yost Personal Use 
MU45  [H] Missouri Delta 
YMSY  [H] MAATSUYKER 
PFAL  ALLAKAKET 
SCAE  El Buitre 
LHKE  Kecskemét (Titán) 
3B8  Shady Acres 
LFEV  Gray Saint Adrien 
KACY  Atlantic City Intl 
CL81  [H] Camp 15 
LJPZ  Portoroz 
CEF4  AIRDRIE 
LFFM  Vouzon le Rabot 
M13  Poplarville-Pearl River County 
41T  [H] Texas Commerce Bank Building 
70TX  [H] TGP 17 
KHHW  Stan Stamper Municipal 
37R  Johnnie Volk Field 
SDDX  Fazenda Paiquere 
SJJK  Fazenda Taquaral 
AT19  O'Higgins Skiway 
6OK3  Pinsons Cottonpatch 
34I  Somerville 
SC74  Marsh Point 
SJIP  [H] Ipiranga Centro Logistico 
ME12  [S] Brettuns Pond 
SDGC  Garca 
DISP  San Pedro 
SSGY  Guaira 
XZMUB  New Ulaanbaatar International Airport 
FD47  [H] Gulf Breeze Hospital 
SSDB  Fazenda Kurupay 
35TX  Flying B Ranch Airstrip 
PADQ  Kodiak 
2TA4  Marios Flying Pizza 
SJHC  [H] Canal 
SDFP  [H] Folha de Sao Paulo 
84PN  Draco 
8OK6  Barry Dotson Ranch 
36A  York 
4F6  Williams Ranch 
D85  Randolph 
SDEK  [H] Barra do Una 
SJKX  Cutia 
XESE5  [H] Kurravaara 
SSEQ  Fazenda Rio Brilhante 
24LA  Cameron ERA Base 
LZTN  TRENCIN 
YDYD  DERRY DOWNS 
CYWM  Athabasca 
2AZ1  Indian Hills Airpark 
XEDF4  Flugplatz Vinsebeck 
SSFJ  Fazenda Retiro da Cachoeira 
TS02  One Sixty Four Place 
37MO  Mayes Homestead 
II84  Hilakos 
PHNL  Honolulu Intl 
5MO4  [H] Reynolds County Memorial Hospital 
PA33  LARS - Private 
RP15  Pasar 
KTZT  Belle Plaine Muni 
SCCM  Molco 
40G  Valle 
61LA  [H] Hohensee 
LFDE  Egletons 
72MO  Fairview Field 
1X4  Willis Gliderport 
LA42  CAPOZZOLI 
KOLY  Olney-Noble 
3A4  SOUTHEAST GREENSBORO 
LFFZ  Sezanne Saint Remy 
SCBI  Pampa Guanaco 
429  Sainte Croix du Verdon 
41C  Calkins Field 
4WA7  [H] Mark Reed Hospital 
3AU  Augusta Muni 
81OH  Elbel 
LFEA  Belle Ile 
SCAR  Chacalluta 
1Y0  Manning Municipal 
SAZM  Astor Piazzolla 
1OH6  [H] Odot 
42X  [H] Martin Marietta 
LA56  Naylor 
XMM0002  Santa Barbara 
KVCT  Victoria Regl 
KTXK  Texarkana Regl - Webb Field 
PA27  [H] Butz 
3II1  Shenandoah Flying Fld 
YHML  Hamilton 
SSDU  Fazenda Modelo 
YJVS  Jervois 
4II8  Willis 
TS16  [H] Lewis Electric Apparatus Repair Inc 
SSGN  Fazenda Guaiba 
2MN9  F. Dillenburg 
II90  Crawford Field 
86IN  [H] Washington County Hospital 
SDGT  Fazenda Alvorada 
SJIG  [H] Edificio Times Square Business 
AT25  Showa Station Skiway 
SC48  Byrd Field 
D91  Spencerport Airpark 
4G2  Hamburg Inc 
EFGE  Genböle 
SDDO  [H] Candido Mendes 
LFSL  Brive Souillac 
UKFI  Saki AB 
61XS  Shanks Ag Strip 
KAVX  Catalina 
MN79  Schroeder 
4NY3  [H] Traulsen-College Point 
YAST  ANGLESTONE 
MY48  [S] Lake Fremont 
0WI8  Oconomowoc 
TX41  Pippen-York Ranch 
YAPO  Apollo Bay 
4LA7  [H] West Jefferson Medical Center 
7WI1  [S] Little Clam Lake 
SSQC  Siqueira Campos 
24XS  [H] Pee Wees 
RPSV  San Vicente 
SSRX  Fazenda Marrua 
NGTM  Tamana 
28ND  Tschepen Private Strip 
YSNW  Nowra Military 
8D3  Sisseton Muni 
0KY3  [H] Tennessee Gas 
PS99  West Penn Township 
KJER  JEROME CO 
SDRB  [H] Renaissance Hotel 
F78  Horseshoe Bend 
YSML  [S] SOUTH MOLLE ISLAND 
79IL  Milford 
KFSE  Fosston Muni 
SA9K  MARCOS PAZ 
SDQY  [H] Shopping Center Iguatemi 
AD5  Merritt 
9ND1  Elliott Farms 
SDSF  [H] Shering Plough 
XESS8  Alstäde Aerodromen 
SA8O  LINCOLN 
SSPG  Paranagua 
YDLR  [H] Deloraine Island 
UUOB  Belgorod 
FAHA  Harmony 
PASO  Seldovia 
FAKZ  Kleinsee 
VIBY  BAREILLY 
45CO  [H] Ag-Air Inc 
NK64  [H] Amch 
WASF  Fak Fak/Torea (DGAC) 
58OI  [H] Harrington Square 
YARP  Arapunya 
5CT1  [H] Rondo 
ETNT  Wittmundhafen AB 
YMDG  Mudgee 
TX55  [H] Southland Center 
5AL5  Big River Airpark 
7PN3  [H] Suburban General Hospital 
VI73  NAGAUR 
KTOB  Dodge Center 
LFRH  Lorient Lann-Bihoue 
RK15  G 237 
LFQS  Vitry en Artois 
DNAS  Asaba Intl 
SVLM  LAS FLORES 
9PN6  [H] Baratta 
IL23  Ellis 
LQSA  Sarajevo 
MY74  [S] Browns Base South - Reshanau Lake 
WARU  Dewadaru/Karimun Jawa (DGAC) 
OH52  [H] Columbus 
KMCC  Mc Clellan Airfield 
82U  [H] Mercy 
TA94  [H] Creech 
SAOL  LABOULAYE 
KAVO  Avon Park Executive 
FQLU  Lumbo 
1L1  Lincoln County 
KCNK  Blosser Muni 
3T5  Fayette Regl Air Center 
MN45  Jennrich Fld 
SDQN  Fazenda Tangara 
4R3  Jackson Muni 
CNC3  Brampton 
WZ12  Ilugwa/Antara (APCM) 
XC003H  Lac a Beauce Seaplane Base 
XC0002  Black Donald Lake 
6J7  BRANHAMS 
F44  Athens Muni 
ADC  Andakombe 
SDRU  Fazenda Caramuru 
SSRO  Fazenda Santa Rosa 
SSQT  Castro 
XIAG  Chindant 
CYCH  MIRAMICHI 
Q75  Hyampom 
42GA  [H] Matthews 
ESIA  Karlsborg 
SSSK  FC 
PASX  Soldotna 
YFTA  Forrestania 
VIBN  Lal Bahadur Shastri 
FAKM  Kimberley 
CYAW  SHEARWATER 
YJAM  Jameson 
DRRT  Tahoua 
SSPP  Fazenda Palma 
PAPC  PORT CLARENCE CGS 
28LL  [H] PCI 
CYBL  Campbell River 
